
база катып жатат | перезагрузите компьютер и проверьте интернет
Что происходит с медицинской книжкой при истечении срока её действия? | При истечении срока действия система автоматически переводит книжку в неактивный статус и направляет гражданину уведомление о необходимости повторного профосмотра.
Является ли печатная форма цифровой медицинской книжки первичным документом? | Нет, первичным источником являются структурированные данные в системе Sanarip Clinic, а печатная или визуальная форма — лишь отображением.
Что такое облачная электронная подпись (ОЭП)? | Облачная электронная подпись — это цифровой аналог личной подписи, хранящийся в защищённой государственной системе. Она позволяет удалённо подписывать электронные документы, имеющие такую же юридическую силу, как и бумажные.
Для чего нужна ОЭП в системе «Sanarip clinic»? | Действующая облачная электронная подпись необходима руководителям и сотрудникам организаций здравоохранения для подписания электронных документов и справок в информационной системе «Sanarip clinic».
Для кого предназначены методические рекомендации по получению ОЭП и входу в «Sanarip clinic»? | Методические рекомендации предназначены для руководителей организаций здравоохранения первичной медико-санитарной помощи (ПМСП) Кыргызской Республики.
Как руководителю организации здравоохранения получить ОЭП при личном обращении в ЦОН? | Руководителю нужно обратиться в любой ЦОН с паспортом гражданина КР и подписанным Соглашением о присоединении к Регламенту УЦ ГП «Инфоком».
Каковы сроки получения ОЭП при личном обращении в ЦОН? | При наличии полного пакета документов доступ к облачной электронной подписи предоставляется в день обращения.
Какие документы нужны сотруднику для получения ОЭП по доверенности через ЦОН? | Сотруднику необходимы паспорт гражданина КР, доверенность от руководителя организации и Соглашение о присоединении к Регламенту УЦ ГП «Инфоком».
Как получить ОЭП для руководителя через ГУ «Кызмат»? | Направьте служебное письмо в адрес ГУ «Кызмат» при ГП «Инфоком» через СЭД «Инфодокс» с приложенным Соглашением и копией паспорта.
Сколько времени занимает изготовление ОЭП при обращении через ГУ «Кызмат»? | Изготовление подписи занимает от 7 до 14 дней в зависимости от объема и очередности обработки обращений.
Как пользователь получает ПИН-код для активации ОЭП? | ПИН-код направляется на адрес электронной почты, который был указан пользователем в Соглашении.
Что необходимо проверить сразу после получения доступа к ОЭП? | Убедитесь в корректности указанных данных (ФИО, ИНН, наименование организации) и проверьте срок действия полученной подписи.
Нужно ли руководителю получать ОЭП заново, если он уже работает в СЭД «Инфодокс»? | Нет, повторно получать подпись не нужно. Если руководитель подписывает документы в СЭД «Инфодокс», у него уже есть действующая ОЭП.
Как оформить ОЭП для заместителей руководителя организации? | Для каждого заместителя руководителя необходимо оформить отдельное соглашение, если планируется использование их личной электронной подписи.
Где скачать бланки Соглашения и доверенности для получения ОЭП? | Документы доступны на официальном сайте ГП «Инфоком» (infocom.kg) в разделе «Наш УЦ» — «Список документов для юридических лиц».
Выдаётся ли облачная электронная подпись на физическом носителе? | Нет, облачная ОЭП предоставляется без физических носителей (флешек или токенов), а доступ и ПИН-код отправляются электронно.
Как авторизоваться в системе «Sanarip clinic»? | На главной странице системы «Sanarip clinic» нажмите кнопку «Войти через ЕСИ», после чего вы будете перенаправлены на портал ЕСИ «Түндүк».
Каковым является самый удобный способ входа в «Sanarip clinic» через ЕСИ? | Рекомендуется выбрать вариант «Вход QR-код» на портале ЕСИ и отсканировать QR-код с помощью мобильного приложения «Түндүк».
Кто является разработчиком методических рекомендаций по системе «Sanarip clinic»? | Рекомендации разработаны Центром электронного здравоохранения при Министерстве здравоохранения Кыргызской Республики.
Какой тип посещения выбирает врач профосмотра при оформлении справки 083/у? | Врач открывает новое обращение и выбирает тип посещения «Приём по поводу профилактических осмотров».
Как начать оформление справки 083/у в системе Sanarip Clinic? | В открытом обращении пациента нажмите на кнопку «Справка», выберите «Справка 083/у» и укажите категорию автотранспорта.
Какой раздел дневника обязательно заполнит врач профосмотра при оформлении справки 083/у? | Врач обязателен к заполнению раздела «Общий осмотр» в создаваемом дневнике приёма.
Как направить пациента на флюорографию при отсутствии результатов для справки 083/у? | Направление создаётся через раздел «Инструментальные обследования». Если результаты уже есть, их можно ввести вручную.
Как результаты флюорографии от специалиста попадают в справку 083/у? | Врач-флюорографист вносит заключение через раздел «Инструментальные исследования», после чего оно автоматически отображается в амбулаторной карте.
Какой предварительный диагноз выставляет врач медосмотра для справки 083/у? | Врач выставляет основной предварительный диагноз Z02.4 с обязательной формулировкой «Годен».
Как записать пациента к узким специалистам для прохождения медосмотра по справке 083/у? | В разделе справки 083/у нажмите кнопку «Записать к врачу» и сразу сформируйте запись ко всем нужным специалистам.
В каком статусе узкий специалист принимает пациента на профосмотр? | Врач-специалист принимает записанного пациента из списка со статусом «В ожидания».
Какой диагноз выставляет узкий специалист при оформлении справки 083/у? | Если пациент здоров, выставляется сопутствующий диагноз Z02.4 «Годен». При выявлении патологий указывается соответствующий диагноз заболевания.
Как узкий специалист сохраняет заключение по справке 083/у? | Специалист открывает справку 083/у в амбулаторной карте, заполняет статус по своей специальности и нажимает «Сохранить».
Какое поле является обязательным для заполнения офтальмологом в справке 083/у? | При заполнении офтальмологического статуса обязательным для ввода является поле «Ношение очков».
Важно ли следить за выбором статуса узким специалистом в справке 083/у? | Да, врач должен заполнять статус строго своей специальности и избегать ошибочного заполнения чужих статусов.
Как врач профосмотра находит пациента для завершения оформления справки 083/у? | Перейдите в раздел «Приём» -> «Принятые», нажмите «Подробнее», найдите ранее созданное профилактическое обращение и нажмите «Редактировать».
Какое значение выставляется в качестве заключительного статуса по справке 083/у? | Врач профосмотра выставляет статус «Терапевтический», который является заключительным при отсутствии противопоказаний.
Какой окончательный диагноз выставляется при завершении выдачи справки 083/у? | Выставляется окончательный диагноз Z02.4 — ГОДЕН, после чего обращение пациента закрывается.
Что нужно проверить перед закрытием обращения по справке 083/у? | Перед закрытием обращения убедитесь в полноте заполнения карты и наличии результатов флюорографии в форме справки 083/у.
Чем подписывается справка 083/у в Sanarip Clinic? | Подписание справки 083/у выполняется с помощью облачной электронной подписи (ОЭП) уполномоченного сотрудника.
Как руководитель организации может дать врачу разрешение на подпись справки 083/у? | Перейдите в раздел «Специалисты», найдите сотрудника, нажмите «Действие» -> «Редактировать», отметьте пункт «Разрешение на подпись справки 083» и сохраните.
Как авторизоваться в Sanarip Clinic для подписания документов ОЭП? | Авторизация проходит через Единую систему идентификации (ЕСИА), например, сканированием QR-кода через приложение Түндүк.
Где найти справки 083/у, отправленные на подпись? | Перейдите в раздел «Справки» на вкладку «Отправленные на подпись». Данные справки выделены оранжевым цветом.
Как подписать справку 083/у в личном кабинете? | В списке справок нажмите «Действие» -> «Посмотреть», затем нажмите зелёную кнопку «Подписать» и введите полученный PIN-код.
Куда отправляется PIN-код для подтверждения подписи справки 083/у? | Одноразовый PIN-код высылается на электронную почту сотрудника, привязанную к его облачной электронной подписи.
Сколько раз можно использовать PIN-код для подписи документов? | Каждый PIN-код действует строго однократно. Для подписания новой справки на почту приходит новый код.
Что необходимо сделать перед оформлением справки 095/у в Sanarip Clinic? | Для оформления справки 095/у необходимо предварительно создать новое обращение пациента в модуле «Прием».
Как создать новое обращение пациента для оформления справки 095/у? | В модуле «Прием» откройте карточку пациента, нажмите «Добавить новое обращение», заполните дату обращения, дату посещения и тип посещения, затем нажмите «Создать».
Почему в интерфейсе не отображается кнопка оформления справки 095/у? | Раздел и кнопка оформления справки 095/у отображаются только внутри созданного обращения пациента.
Как открыть форму цифровой справки 095/у в обращениях? | Откройте созданное обращение пациента, в верхней части формы нажмите кнопку «Справка» и выберите пункт «Справка №095/у».
Где найти раздел «Справка №095/у» после его выбора в меню? | Раздел появляется в нижней части формы ввода сведений о состоянии пациента. Нажмите кнопку «Показать» справа от названия раздела.
Какие анкетные данные пациента заполняются в справке 095/у автоматически? | Система автоматически подтягивает ПИН, пол, дату рождения, фамилию, имя и отчество пациента из его цифрового профиля в Sanarip Clinic.
Какие типы образовательных организаций доступно выбрать при создании справки 095/у? | Доступны типы: дошкольное образование (садики), общее образование (школы), начальное профессиональное образование, а также высшее профессиональное образование (вузы, институты, университеты).
Как указать, что справка 095/у является продолжением лечения после стационара? | В блоке «Предыдущая справка 095/у» убедитесь, что справка открывалась в стационаре, и установите флажок «Продолжение справки 095/у».
Как оформить справку 095/у при выписке пациента из стационара? | В окне «Выписка пациента» раскройте раздел «Выписать справку 095/у», заполните тип организации, причину отсутствия, МКБ-10, период освобождения и нажмите «Выписать».
Зачем нужен признак «Дни на дорогу» при выписке справки 095/у из стационара? | Признак устанавливается, если пациенту требуется дополнительное время для возвращения к месту проживания (до 3 дней при необходимости).
Что означает галочка «Продолжает болеть» при выписке справки 095/у из стационара? | Флажок выбирается, если после выписки из стационара пациенту необходимо продолжить лечение в амбулаторных условиях.
Какие причины отсутствия можно выбрать при оформлении справки 095/у? | В поле «Причина отсутствия» можно выбрать один из трех вариантов: «Заболевание», «Карантин» или «Травма и несчастный случай».
Как заполняется поле «Режим лечения» в справке 095/у? | Поле заполняется автоматически: значение «Амбулаторный» выставляется для амбулаторного приема, а значение «стационарный» — для стационарного лечения.
Какие коды диагнозов доступны при выборе причины отсутствия «Травма и несчастный случай»? | При выборе причины «Травма» в поле «Код МКБ-10» доступен выбор только из кодов классов S и T по МКБ-10.
В каком случае заполнение блока «Наличие контакта с инфекционным больным» является обязательным? | Блок обязателен для заполнения, если в поле «Причина отсутствия» указано значение «Карантин».
Как внести данные о контакте с инфекционным больным в справке 095/у? | В поле контакта выберите «Да», после чего в активировавшемся поле «Код МКБ-10» укажите диагноз инфекционного заболевания лица, с которым контактировал пациент.
Как зафиксировать в справке 095/у наличие документа из травмпункта или скорой помощи? | Установите флажок «Наличие справки травмпункта или бригады скорой помощи» и заполните тип справки, дату выдачи и наименование выдавшей медорганизации.
Как задать период освобождения от учебы в справке 095/у? | В блоке «Форма продления» заполните поля «Освобождён с» и «Освобождён по», после чего нажмите кнопку «Сохранить».
Как продлить справку 095/у на срок более 10 дней через ВКК? | Создайте посещение внутри обращения, откройте раздел «Справка 095/у», выберите председателя и членов ВКК, укажите период продления и отправьте запрос.
В каком статусе находится заявка на продление справки 095/у до рассмотрения комиссией ВКК? | Заявка отображается со статусом «На рассмотрении» в реестре «Справки 095/у – ожидают ВКК».
Как председателю ВКК рассмотреть заявку на продление справки 095/у? | В реестре «Справки 095/у – ожидают ВКК» нажмите «Действия» -> «Рассмотреть (ВКК)», проверьте или скорректируйте дату окончания освобождения и нажмите «Подтвердить».
Когда для продления справки 095/у требуется решение расширенной комиссии РВКК? | Рассмотрение РВКК необходимо, если общая продолжительность освобождения по справке превышает 30 календарных дней (один месяц).
Как оформить продление справки 095/у через РВКК в особых случаях? | Установите флажок «Разрешение РВКК (для особых случаев)», выберите членов комиссии из списка, укажите предельную дату продления и номер протокола РВКК.
Как члены комиссии РВКК подтверждают продление справки 095/у? | В реестре «Справки 095/у – ожидают РВКК» нажмите «Действия» -> «Рассмотреть (РВКК)», выберите членов комиссии, проверьте дату, введите номер протокола и нажмите «Подтвердить».
Как убедиться, что цифровая справка 095/у успешно сформирована? | В правом верхнем углу появится всплывающее уведомление «Справка опубликована», а в блоке «Освобождение от учёбы» отобразятся данные сформированного документа.
Какая информация отображается в реестрах заявок ВКК и РВКК? | В реестрах отображаются ФИО пациента, тип образовательной организации, период освобождения, лечащий врач и текущий статус заявки.
Как досрочно закрыть справку 095/у в Sanarip Clinic? | В разделе «Освобождение от учёбы» нажмите кнопку «Закрыть справку 095/у досрочно», укажите исход закрытия и подтвердите действие кнопкой «Закрыть».
Какие варианты исхода закрытия доступно выбрать при досрочном прекращении справки 095/у? | В поле «Исход закрытия» доступны варианты: «Без динамики», «Выздоровление», «Госпитализация» и «Улучшение».
Какие данные выводятся в блоке «Информация о закрытии справки»? | В блоке отображаются дата разрешения посещения, исход закрытия, дата и время закрытия, а также ФИО медработника, закрывшего справку.
Что означает поле «С какого числа разрешено посещение» в справке 095/у? | Это календарная дата, начиная с которой пациенту официально разрешено возобновить посещение образовательной организации.
Как повторно открыть ранее закрытую справку 095/у для внесения изменений? | В разделе «Информация о закрытии справки» нажмите кнопку «Повторно открыть», укажите причину возобновления работы со справкой и нажмите «Открыть».
Как правильно создать обращение для оформления формы 026/у? | В модуле «Прием» откройте карточку пациента, нажмите «Добавить новое обращение», укажите даты и выберите тип посещения «Прием по поводу профилактического осмотра», после чего нажмите «Создать».
Где в системе находится кнопка для открытия формы 026/у? | Откройте созданное обращение пациента в модуле «Прием», в верхней части формы нажмите кнопку «Формы» и в выпадающем списке выберите «Форма 026/у (детский осмотр)».
Как выбрать пакет профилактического медицинского осмотра? | В окне «Информированное согласие» выберите нужный вариант в поле «Пакет». Перечень доступных пакетов система определяет автоматически в зависимости от возраста ребенка.
Какие пакеты формы 026/у доступны для детей в возрасте 6–7 лет? | Для детей в возрасте от 6 до 7 лет доступны два варианта: Пакет 1 (поступление в дошкольную образовательную организацию) и Пакет 2 (поступление в школу).
Как автоматически заполнить ФИО родителя в информированном согласии? | Введите ПИН родителя или законного представителя в поле «ПИН родителя» и нажмите кнопку «Поиск». Система автоматически найдет гражданина и заполнит поле ФИО.
Что делать после создания бланка информированного согласия? | Распечатайте бланк, подпишите его у родителя и медицинского работника, после чего прикрепите скан-версию подписанного документа в соответствующем разделе формы 026/у.
Где найти раздел «Форма 026/у» в карточке пациента? | Раздел отображается в нижней части формы ввода сведений о состоянии пациента в обращении. Нажмите кнопку «Показать» справа от наименования раздела.
Какие диспансерные учеты система проверяет автоматически? | Система проверяет реестры лиц, состоящих на учете по наркологии, психиатрии, сахарному диабету, гепатиту B и туберкулезу, отображая статус «Состоит» или «Не состоит».
Почему не получается ввести данные осмотра прямо в форму 026/у? | Ручной ввод в саму форму 026/у не предусмотрен. Сначала нужно заполнить форму «Данные осмотра (дневник)» в обращении пациента, откуда данные автоматически перенесутся в форму 026/у.
Что показывают индикаторы заполнения в разделе «Разделы осмотра»? | Индикатор (например, 1/7 заполнено) показывает количество полностью заполненных подразделов. Если данные отсутствуют, в соответствующем поле отображается статус «Не заполнено».
Позволит ли система завершить форму 026/у без результатов анализов? | Нет. Все лабораторные и инструментальные исследования из выбранного пакета обязательны. При отсутствии хотя бы одного результата итоговое заключение сформировать нельзя.
Откуда берутся данные о прививках и пробе Манту в форме 026/у? | Сведения подтягиваются автоматически из государственных информационных систем здравоохранения. Для обновления информации нажмите кнопку «Обновить».
Как направить рекомендации родителям в мобильное приложение «Түндүк»? | При внесении заключительного диагноза заполните поле «Дополнительная рекомендация для родителей». Введенная информация отобразится родителям в приложении «Түндүк» без изменений.
Как Sanarip Clinic определяет физкультурную группу ребенка? | Физкультурная группа определяется автоматически на основе установленного заключительного диагноза. При наличии нескольких диагнозов группа выбирается по диагнозу с наивысшим приоритетом.
Можно ли изменить или аннулировать сохраненный заключительный диагноз? | Да, в журнале диагнозов для каждой записи доступны функции «Редактировать» (для добавления рекомендаций и уточнения данных) и «Аннулировать» (для исключения из активного списка).
Почему кнопка «Сформировать заключение» недоступна? | Кнопка заблокирована, если не заполнены обязательные разделы осмотра, отсутствуют заключительные диагнозы или обязательные результаты лабораторных исследований.
Как подписать форму 026/у электронной подписью (ОЭП)? | Убедитесь, что статус формы «Готов к подписи», нажмите «Сформировать заключение», затем «Подписать ОЭП», введите полученный PIN-код и нажмите «Подписать».
Что фиксируется в разделе «История изменений» формы 026/у? | В разделе автоматически и в хронологическом порядке фиксируются все действия пользователей: создание формы, редактирование диагнозов, смена статусов и подписание ОЭП.
Сколько пакетов профилактических осмотров предусмотрено в системе? | В системе предусмотрено 7 пакетов профилактических медицинских осмотров, сформированных в соответствии с возрастом ребенка и нормативными актами МЗ КР.
Какие обязательные лабораторные исследования входят в Пакеты 1 и 2? | В Пакет 1 и Пакет 2 входят общий анализ крови (L01.036 или гемоглобин L02.002) и исследование кала на яйца глистов (L01-032).
Какие особенности осмотра предусмотрены по Пакету 3 для детей 8 лет? | В Пакет 3 входит обязательное измерение артериального давления (САД и ДАД минимум с одной стороны), оценка эмоциональности, психического статуса и общий анализ крови.
Какие специфические обследования включает Пакет 6 для девочек 16 лет? | Пакет 6 содержит гинекологический анамнез, оценку пищевого поведения, общий анализ крови, общий анализ мочи и флюорографическое исследование.
Для какого возраста применяется Пакет 7 профилактического осмотра? | Пакет 7 предназначен для профилактического медицинского осмотра детей в возрасте 9, 10, 12, 13 и 15 лет.
Как быстро найти нужную форму 026/у в реестре? | Откройте «Реестр формы 026/у» и используйте фильтры по ПИН, ФИО ребенка, врачу, медицинской организации, пакету, статусу формы или периоду оформления.
Для чего предназначена кнопка «Сбросить» в реестре форм 026/у? | Кнопка «Сбросить» полностью очищает все заданные параметры фильтрации и возвращает отображение полного списка записей реестра.
Почему в МИС Sanarip Clinic неправильно отображается должность врача? | Это происходит из-за неактуальных или некорректно подгруженных данных по организации и должности специалиста из системы НИСУР.
Что делать, если должность врача в Sanarip Clinic отличается от данных в НИСУР? | Необходимо актуализировать данные специалиста в системе через раздел «Прием» → «Специалисты».
Как перейти к редактированию профиля специалиста в Sanarip Clinic? | Зайдите в раздел «Прием» → «Специалисты», найдите нужного сотрудника, нажмите кнопку «Действия» и выберите пункт «Редактировать».
Какие поля профиля специалиста автоматически подгружаются из НИСУР? | Из НИСУР автоматически подгружаются поля «Тип персонала», «Специальность» и «Должность», которые зависят от выбранной организации.
Почему в поле «Организация» несколько раз повторяется название одного и того же учреждения? | Названия повторяются, если врач работает в одной организации на нескольких разных должностях.
Как выбрать правильную должность для врача при наличии повторяющихся организаций в списке? | Поочерёдно выбирайте варианты организации из списка, пока поля «Тип персонала», «Специальность» и «Должность» не заполнятся фактическими данными.
Обязательно ли менять пароль при редактировании данных сотрудника? | Да, при актуализации профиля специалиста необходимо обязательно ввести новый пароль сотрудника в соответствующее поле перед сохранением.
Что изменится после успешного обновления данных специалиста в Sanarip Clinic? | Должность врача отобразится корректно, приёмы и обращения будут формироваться с правильной ролью, а данные синхронизируются с НИСУР.
Как сохранить изменения после редактирования данных врача? | Проверьте правильность всех полей, обязательно введите новый пароль сотрудника и нажмите кнопку «Сохранить».
Сан-арип Клиникте дарыгердин кызмат орду туура эмес көрсөтүлүп калса эмне кылуу керек? | «Кабыл алуу» → «Адистер» бөлүмүнө кирип, дарыгердин тизмесинен «Аракеттер» → «Түзөтүү» менюсу аркылуу маалыматтарды жаңылоо керек.
Неге МИС Sanarip Clinic тизмесинде бир эле уюмдун аталышы кайталанып чыга берет? | Бул дарыгер бир эле саламаттыкты сактоо уюмунда бир нече ар башка кызмат ордунда иштеген учурда болот.
Что изменилось в обновлённом модуле МСЭК в системе Санарип Клиник? | Внизу формы обращения МСЭК под разделом «Прилагаемые документы» появился список специалистов, участвовавших в осмотре пациента, с указанием статуса подписи каждого из них.
Как врачу подписать направление на МСЭК? | Зайдите под своей учётной записью, откройте обращение через «Редактировать», пролистайте форму вниз до списка специалистов и нажмите «Подписать» напротив своей фамилии.
Может ли врач подписать направление на МСЭК за своего коллегу? | Нет, в обновлённом модуле врач подписывает направление строго за себя под собственной учётной записью.
Как направить обращение на РВКК после подписи всеми врачами? | Откройте электронный журнал направлений, нажмите кнопку «Действие» и выберите «Направить на РВКК».
Что делать, при отправке направления на РВКК выходит уведомление об ошибке? | Ознакомьтесь с текстом уведомления, заполните указанные недостающие данные или проверьте наличие подписей всех необходимых врачей.
Почему система не отправляет направление на РВКК и сообщает о недостатке подписей? | Это уведомление означает, что направление подписали не все врачи, участвовавшие в осмотре. Требуется подпись каждого специалиста из списка.
Что может сделать член РВКК с поступившим направлением МСЭК? | Член РВКК проверяет документ и может либо подписать его при корректном заполнении, либо отклонить подпись для отправки направления врачу на доработку.
Как члену РВКК передать информацию об ошибках врачу при отклонении направления МСЭК? | При отклонении подписи направление возвращается врачу, а о конкретных ошибках и замечаниях пока необходимо сообщать врачу устно или по телефону.
Как подписать направление МСЭК с помощью ОЭП юридического лица? | Ответственный член РВКК открывает «Электронный журнал направлений», нажимает кнопку «Действие» и выбирает пункт «Подписать ОЭП».
Какие автоматические проверки осуществляет модуль МСЭК? | Система автоматически проверяет паспортные данные пациента, соблюдение сроков направления и передачу по срокам больничного листа, выводя подсказки на экран.
Что необходимо сделать с созданными до обновления неотправленными направлениями МСЭК? | Все текущие неотправленные направления нужно доподписать. Врачам необходимо зайти в обращение через «Редактировать», пролистать вниз до списка специалистов и нажать «Подписать».
